Year,Month,Rain,T_max,T_min,Himachal_Pradesh,HP_Tourism,HP_Weather,HP_Travel,Party & Holiday Supplies,Geographic Reference,Travel,Hotels & Accommodations,Air Travel,Bus & Rail,Car & Taxi,Tourist Destinations,Travel Agencies,Tourist Arrivals
2010,Jan,15.1893,17.1,-1.14,51,22,3,0,0,35,35,0,0,4,0,20,0,695702
,Feb,89.2428,21.42,0.44,54,24,2,14,0,34,40,3,0,11,0,19,8,1035789
,Mar,33.4067,28.36,5.5,58,31,1,11,0,51,40,0,0,21,0,28,6,1201482
,Apr,30.4483,33.58,10.34,77,49,7,15,0,66,65,6,3,32,0,34,0,1617416
,May,55.3015,35.55,12.36,100,56,5,0,0,85,86,4,0,48,4,50,6,1424654
,Jun,191.1265,35.89,13.38,73,54,3,0,0,73,62,0,0,41,0,31,0,1636022
,Jul,300.7926,31.72,15.74,57,27,3,0,0,37,38,3,0,19,0,18,4,887061
,Aug,244.6806,29.61,17.47,63,17,4,0,0,32,33,0,0,14,0,15,0,815169
,Sep,192.355,28.76,12.55,57,21,5,16,0,33,39,3,3,16,7,13,0,972312
,Oct,25.4012,27.79,7,52,19,2,15,0,26,35,3,0,15,0,21,0,1172670
,Nov,6.9922,23.81,3.51,56,21,3,0,0,34,30,3,0,16,0,11,0,671982
,Dec,63.1915,18.92,-0.57,51,17,3,8,0,33,25,2,2,10,0,8,0,681727
2011,Jan,22.8609,15.09,-1.22,42,16,3,5,0,21,25,0,0,18,0,13,0,757377
,Feb,30.634,18.06,1.18,49,19,3,5,0,27,31,2,1,16,0,12,0,869384
,Mar,20.5201,26.13,3.83,50,22,3,6,0,27,31,3,2,16,0,16,4,1428569
,Apr,14.3543,30.86,6.91,59,27,4,5,0,37,35,3,1,14,1,19,0,1903137
,May,20.1745,33.9,13.59,82,31,5,10,0,45,49,4,1,15,0,26,0,1592719
,Jun,92.9255,32.56,12.47,73,27,6,9,0,43,48,2,0,24,0,26,5,1808553
,Jul,139.9475,31.45,17.72,61,19,3,6,0,30,33,0,1,9,0,16,0,1088438
,Aug,164.5173,31.53,16.89,54,16,3,4,0,29,33,1,1,12,0,15,0,1087424
,Sep,44.7515,29.97,14.54,55,17,2,4,0,24,32,1,1,15,0,13,2,1196179
,Oct,14.458,27.5,8.32,46,14,1,8,0,23,26,1,1,13,0,11,0,1484130
,Nov,13.76,22.78,4.34,43,10,2,5,0,18,23,2,1,11,0,11,0,686067
,Dec,13.2052,21.11,-0.99,45,9,3,3,0,15,23,1,1,9,0,11,2,702911
2012,Jan,24.9351,15.39,-2.74,48,8,6,5,0,15,23,2,0,11,0,9,0,724271
,Feb,23.353,18.32,-2.67,51,11,4,2,2,17,23,0,0,12,0,11,0,768227
,Mar,20.8572,26.8,2.25,52,15,4,4,0,21,29,2,0,15,1,11,2,1024879
,Apr,39.9263,28.56,8.9,54,16,4,5,1,26,33,1,1,14,0,14,2,1371517
,May,0.4378,35.92,9.67,83,22,6,9,0,35,43,2,1,18,1,26,0,1814358
,Jun,11.2,35.37,16.03,78,16,6,6,0,35,41,4,2,12,0,23,0,1907949
,Jul,206.9083,35.17,18.09,61,11,5,3,1,23,31,1,0,16,0,15,0,1200563
,Aug,311.9786,30.61,17.68,53,10,3,3,1,22,29,1,1,9,1,15,1,1382822
,Sep,122.7928,30.19,14.02,55,9,3,3,0,19,25,1,1,10,0,11,2,1383828
,Oct,2.2541,28.3,6.4,52,8,2,2,0,17,24,0,1,12,0,12,0,1758422
