Date,Rain,T_max,T_min,Himachal_Pradesh,HP_Tourism,HP_Weather,HP_Travel,Party & Holiday Supplies,Geographic Reference,Travel,Hotels & Accommodations,Air Travel,Bus & Rail,Car & Taxi,Tourist Destinations,Travel Agencies,Tourist Arrivals
2010-01-01,-0.9386887800164386,-1.6528620837021597,-1.3891671445855118,-0.5380301925462649,1.5328122302878229,-0.7588688149186098,-1.4883719231625898,0,1.2129889866542725,0.13022357920870095,0,0,-1.5909291650519413,0,0.9873978438923362,0,757377.0
2010-02-01,-0.00035941681734202093,-0.939997776970242,-1.1527169671021706,-0.2712948852245997,1.7540136252229759,-0.8125574929808788,3.0138500715563796,0,1.1141763068014963,0.625708417173515,3,0,-0.22298062313326414,0,0.8162488842843313,8,869384.0
2010-03-01,-0.7078567283086433,0.20520553060371804,-0.39547779111121795,0.08435219120428732,2.528218507496011,-0.8662461710431478,2.0490882155451717,0,2.7939918642986927,0.625708417173515,0,0,1.7312315796077034,0,2.3565895207563754,6,1428569.0
2010-04-01,-0.7453425134246501,1.0665832345714519,0.3288379424453456,1.7736758042415006,4.519031061912388,-0.5441141026695338,3.335437356893449,0,4.276182062090336,3.1031326069975855,6,3,3.8808650026227673,0,3.383483278404405,0,1903137.0
2010-05-01,-0.4304284671005765,1.3916625596320715,0.6311350047974651,3.8186464937076012,5.293235944185423,-0.6514914587940718,-1.4883719231625898,0,6.153622979293084,5.1841689264498045,4,0,7.007604527008315,4,6.121866632132484,6,1592719.0
2010-06-01,1.290605457785044,1.447767620810047,0.7837800560841791,1.4180287278126136,5.0720345492502705,-0.7588688149186098,-1.4883719231625898,0,4.96787082105977,2.805841704218697,0,0,5.639655985089638,0,2.8700363995803904,0,1808553.0
2010-07-01,2.6801808563486293,0.7596555469507651,1.1369588021985364,-0.0045595779029344325,2.0858157176257053,-0.7588688149186098,-1.4883719231625898,0,1.410614346359825,0.4275144819875894,3,0,1.3403891390595097,0,0.6450999246763264,4,1088438.0
2010-08-01,1.9691876254030598,0.411474137875685,1.395856781341688,0.5289110367403961,0.9798087429499405,-0.7051801368563408,-1.4883719231625898,0,0.9165509470959438,-0.0679703559772247,0,0,0.3632830376890261,0,0.1316530458523116,0,1087424.0
2010-09-01,1.3061717392260304,0.2712114849307478,0.6595688868998923,-0.0045595779029344325,1.4222115328202465,-0.6514914587940718,3.657024642230518,0,1.01536362694872,0.5266114495805522,3,3,0.7541254782372196,7,-0.21064487336369822,0,1196179.0
2010-10-01,-0.8092941447317747,0.11114704568770108,-0.17099977451310938,-0.44911842343904324,1.2010101378850935,-0.8125574929808788,3.335437356893449,0,0.3236748679792863,0.13022357920870095,3,0,0.5587042579631228,0,1.158546803500341,0,1484130.0
