Year,Month,Rain,T_max,T_min,Shimla,Shimla_Tourism,Shimla_Weather,Shimla_Travel,Recreation,Geographic Reference,Travel,Hotels & Accommodations,Air Travel,Bus & Rail,Car & Taxi,Tourist Destinations,Travel Agencies,Tourist Arrivals
2010,Jan,0,3.09,3.09,65,58,21,31,0,53,57,17,7,46,0,58,0,165247
,Feb,0,3.82,3.82,56,62,10,22,0,58,57,31,21,60,22,49,2,155554
,Mar,0.764,12.5,12.5,79,71,11,34,0,80,77,36,25,68,0,71,0,176551
,Apr,0,13.62,13.62,88,83,17,32,0,82,92,46,36,67,0,83,2,351393
,May,4.0968,18.15,18.15,100,100,15,40,0,100,97,46,37,100,0,78,5,360096
,Jun,0,20.41,20.41,84,79,17,36,0,85,83,38,32,76,0,80,0,398452
,Jul,0.7428,19.96,19.96,67,44,11,20,7,55,58,22,11,60,0,55,0,180467
,Aug,7.1092,20,20,57,32,13,17,9,51,49,17,19,47,0,47,2,119569
,Sep,4.7116,20.9,20.9,58,31,9,18,0,51,55,25,16,53,10,52,4,185243
,Oct,0,16.32,16.32,55,31,7,28,0,51,54,26,19,56,8,48,0,122819
,Nov,0,10.59,10.59,57,35,13,17,22,48,55,20,9,55,0,56,0,101540
,Dec,0,5.02,5.02,72,33,33,30,0,62,71,30,19,67,13,70,1,168633
2011,Jan,0,3.81,3.81,49,27,23,13,0,44,47,22,21,49,4,41,1,183556
,Feb,0,4.55,4.55,53,30,19,17,0,47,48,20,13,41,0,44,0,174609
,Mar,0,7.18,7.18,54,28,13,21,0,51,52,21,21,50,0,47,0,198760
,Apr,0,11.71,11.71,62,41,15,22,0,64,64,36,17,62,0,56,1,395110
,May,0.1824,18.94,18.94,74,46,16,24,0,71,73,34,16,69,0,67,0,390553
,Jun,10.7938,16.03,16.03,76,42,17,21,0,68,73,29,13,72,0,66,0,432559
,Jul,12.8905,19.75,19.75,50,26,8,13,0,47,46,16,13,42,0,45,0,197096
,Aug,35.6439,22.2,22.2,49,28,8,13,0,43,47,16,8,42,5,46,<1,222870
,Sep,0,21.88,21.88,43,27,7,8,0,40,41,19,8,43,0,38,<1,207944
,Oct,0,16.94,16.94,41,21,6,11,0,40,42,17,10,41,0,37,1,154716
,Nov,0,10.93,10.93,42,21,7,12,0,41,45,20,10,43,2,39,1,103267
,Dec,0,7.47,7.47,51,21,15,14,3,44,51,22,6,49,2,45,0,157230
2012,Jan,0,5.39,5.39,55,23,33,15,0,42,49,14,10,42,0,45,0,198866
,Feb,0,2.95,2.95,46,25,20,12,0,38,44,17,10,48,0,35,0,180290
,Mar,0,5.89,5.89,46,26,12,18,0,42,46,18,11,47,1,39,0,192286
,Apr,0,15.35,15.35,53,31,12,15,0,46,55,21,12,51,3,45,1,347568
,May,0,12.82,12.82,68,32,16,20,0,68,61,26,11,65,0,59,<1,434490
,Jun,0,24.29,24.29,69,32,18,12,0,66,61,24,9,60,2,59,1,463945
,Jul,0,23.91,23.91,58,16,13,16,0,43,51,18,7,47,0,46,1,213647
,Aug,6.0251,21.58,21.58,48,17,9,12,0,38,40,14,8,37,3,37,1,278333
,Sep,0.6537,21.36,21.36,42,19,6,12,1,39,42,16,9,44,0,38,0,214897
,Oct,0,17.49,17.49,41,16,6,11,0,37,38,15,9,40,3,34,1,231647
,Nov,0,11.18,11.18,37,17,7,12,1,31,35,11,11,36,0,32,<1,170239
,Dec,0,5.65,5.65,58,19,25,14,0,54,51,25,13,59,3,47,0,269124
2013,Jan,0,4.11,4.11,51,18,29,13,0,51,48,17,12,48,1,41,1,220746
,Feb,0,5.52,5.52,49,18,30,10,0,40,47,15,9,41,4,40,0,190874
,Mar,0,6.27,6.27,54,20,21,15,0,49,53,19,14,51,0,47,<1,215637
,Apr,0,12.49,12.49,54,21,17,15,1,50,50,20,15,49,0,46,1,376256
,May,0,15.65,15.65,64,24,20,13,0,72,58,24,16,64,5,52,1,442126
,Jun,0,20.83,20.83,67,23,27,14,0,65,57,25,10,58,2,58,1,137419
,Jul,0,21.94,21.94,44,14,12,6,0,30,41,12,8,35,1,35,1,182402
,Aug,2.6052,21.61,21.61,42,12,10,9,0,34,38,11,8,39,0,35,<1,219114
,Sep,3.7434,20.37,20.37,42,13,8,11,0,35,37,13,6,40,1,34,<1,238410
,Oct,5.4745,19.05,19.05,42,18,9,11,0,38,38,11,8,42,2,34,<1,270150
